age,workclass,education_num,marital_status,occupation,relationship,sex,capital_gain,capital_loss,hours_per_week,target
51,2,10,4,13,1,1,0,0,30,0
36,2,13,2,5,0,1,0,0,40,0
46,3,15,2,9,0,1,15024,0,60,1
23,0,9,4,9,1,1,0,0,40,0
45,2,10,2,13,0,1,0,0,60,1
23,2,10,2,2,0,1,0,0,40,0
34,2,6,4,7,4,0,0,0,40,0
37,2,13,2,3,0,1,0,0,40,0
37,2,9,2,13,0,1,0,0,40,0
21,2,12,4,7,2,1,0,0,15,0
56,2,9,2,5,0,1,0,0,40,0
43,2,9,2,0,5,0,0,0,30,0
23,2,10,5,11,4,0,0,0,40,0
23,2,7,2,6,0,1,0,0,40,0
43,2,11,0,9,1,1,0,0,48,0
46,2,9,0,0,1,0,0,0,40,0
44,2,9,0,7,1,1,0,0,37,0
41,2,9,2,2,0,1,7688,0,38,1
32,0,13,2,9,0,1,0,0,40,1
25,4,9,0,7,4,0,0,0,40,0
31,2,13,4,0,1,1,8614,0,40,1
23,2,13,2,11,0,1,2580,0,40,0
25,4,9,4,2,3,1,0,0,36,0
56,2,8,2,9,0,1,0,0,40,1
26,2,11,5,0,4,0,114,0,40,0
34,2,9,2,13,0,1,0,0,40,1
21,2,7,4,5,3,1,0,0,40,0
30,2,9,2,5,0,1,0,0,40,0
67,4,10,4,9,1,0,0,0,50,1
33,2,12,2,11,0,1,0,0,40,1
54,2,9,5,0,4,0,0,0,38,0
29,2,7,5,2,4,1,0,0,40,0
68,4,14,2,9,0,1,0,0,24,0
42,2,13,2,0,0,1,7298,0,40,1
43,2,10,2,13,0,1,0,0,60,1
29,2,12,0,2,4,0,0,0,38,0
30,2,6,2,7,0,1,0,0,40,0
33,2,13,2,9,0,1,3103,0,43,1
35,4,9,2,13,0,1,0,0,65,1
52,2,13,0,9,4,0,0,0,40,1
23,2,13,4,9,1,0,0,0,40,0
52,2,10,2,11,0,1,7298,0,45,1
78,4,10,2,2,0,1,0,0,3,1
37,2,9,2,2,0,1,0,0,40,0
35,2,9,2,2,0,1,0,0,40,0
21,2,10,4,11,3,1,0,0,45,0
42,2,13,2,13,0,1,0,0,58,0
25,2,10,4,11,1,0,0,0,40,0
29,2,9,2,6,0,1,0,0,50,1
31,2,16,2,9,0,1,0,0,50,1
31,2,10,2,2,0,1,0,0,40,0
34,3,9,0,11,4,1,0,0,50,1
30,2,12,2,9,0,1,0,2002,40,0
27,2,10,4,5,1,1,0,0,38,0
41,4,9,2,3,0,1,0,0,50,0
46,2,10,2,2,0,1,0,0,40,0
53,2,13,0,3,4,1,0,0,40,0
17,2,6,4,2,3,0,0,0,30,0
33,2,9,4,7,4,0,0,0,40,0
